                  玻璃2305 (FG2305)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2023/01/16-21:20	    1671	    1673	    1665	    1665	          39636	    1665.00	           	           	           	           	           	           	           	           	       0.00	   39636.00	           	           	       0.00	       0.00	       0.00	
 2023/01/16-21:30	    1665	    1669	    1660	    1662	          56599	    1662.00	           	           	           	           	           	           	           	           	       0.00	   56599.00	           	           	      -0.24	      -0.05	      -0.38	
 2023/01/16-21:40	    1662	    1664	    1658	    1664	          45957	    1664.00	           	           	           	           	           	           	           	           	       0.00	   45957.00	           	           	      -0.26	      -0.09	      -0.35	
 2023/01/16-21:50	    1664	    1665	    1658	    1665	          28241	    1665.00	           	           	           	           	           	           	           	           	       0.00	   28241.00	           	           	      -0.20	      -0.11	      -0.18	
 2023/01/16-22:00	    1665	    1666	    1662	    1663	          18431	    1663.00	           	           	           	           	           	           	           	           	       0.00	   18431.00	   37772.80	           	      -0.31	      -0.15	      -0.31	
 2023/01/16-22:10	    1662	    1663	    1659	    1660	          17016	    1660.00	           	           	           	           	           	           	           	           	       0.00	   17016.00	   33248.80	           	      -0.63	      -0.25	      -0.76	
 2023/01/16-22:20	    1659	    1660	    1653	    1657	          35911	    1657.00	           	           	           	           	           	           	           	           	       0.00	   35911.00	   29111.20	           	      -1.11	      -0.42	      -1.38	
 2023/01/16-22:30	    1658	    1662	    1656	    1661	          23941	    1661.00	           	           	           	           	           	           	           	           	       0.00	   23941.00	   24708.00	           	      -1.16	      -0.57	      -1.18	
 2023/01/16-22:40	    1660	    1661	    1656	    1657	          11761	    1657.00	           	           	           	           	           	           	           	           	       0.00	   11761.00	   21412.00	           	      -1.50	      -0.76	      -1.49	
 2023/01/16-22:50	    1657	    1662	    1656	    1658	          15584	    1658.00	           	           	           	           	           	           	           	           	       0.00	   15584.00	   20842.60	   29307.70	      -1.67	      -0.94	      -1.47	
 2023/01/16-23:00	    1658	    1661	    1655	    1658	          23721	    1658.00	           	           	           	           	           	           	           	           	       0.00	   23721.00	   22183.60	   27716.20	      -1.79	      -1.11	      -1.36	
 2023/01/16-09:10	    1657	    1657	    1639	    1657	         117897	    1657.00	           	           	           	           	           	           	           	           	       0.00	  117897.00	   38580.80	   33846.00	      -1.94	      -1.27	      -1.33	
 2023/01/16-09:20	    1656	    1658	    1647	    1654	          38497	    1654.00	           	           	           	           	           	           	           	           	       0.00	   38497.00	   41492.00	   33100.00	      -2.27	      -1.47	      -1.60	
 2023/01/16-09:30	    1654	    1660	    1651	    1658	          29472	    1658.00	           	           	           	           	           	           	           	           	       0.00	   29472.00	   45034.20	   33223.10	      -2.19	      -1.62	      -1.14	
 2023/01/16-09:40	    1658	    1666	    1658	    1663	          38470	    1663.00	           	           	           	           	           	           	           	           	       0.00	   38470.00	   49611.40	   35227.00	      -1.70	      -1.63	      -0.13	
 2023/01/16-09:50	    1663	    1669	    1662	    1665	          23984	    1665.00	           	           	           	           	           	           	           	           	       0.00	   23984.00	   49664.00	   35923.80	      -1.14	      -1.54	       0.79	
 2023/01/16-10:00	    1665	    1673	    1665	    1670	          28632	    1670.00	           	           	           	           	           	           	           	           	       0.00	   28632.00	   31811.00	   35195.90	      -0.29	      -1.29	       2.00	
 2023/01/16-10:10	    1670	    1679	    1670	    1678	          45217	    1678.00	           	           	           	           	           	           	           	           	       0.00	   45217.00	   33155.00	   37323.50	       1.02	      -0.82	       3.69	
 2023/01/16-10:35	    1679	    1680	    1669	    1671	          45464	    1671.00	           	           	           	           	           	           	           	           	       0.00	   45464.00	   36353.40	   40693.80	       1.48	      -0.36	       3.68	
 2023/01/16-10:45	    1672	    1672	    1665	    1669	          28146	    1669.00	           	           	           	           	           	           	           	           	       0.00	   28146.00	   34288.60	   41950.00	       1.66	       0.04	       3.23	
 2023/01/16-10:55	    1669	    1669	    1663	    1664	          18467	    1664.00	           	           	           	           	           	           	           	           	       0.00	   18467.00	   33185.20	   41424.60	       1.38	       0.31	       2.15	
 2023/01/16-11:05	    1665	    1666	    1663	    1665	          14209	    1665.00	           	           	           	           	           	           	           	           	       0.00	   14209.00	   30300.60	   31055.80	       1.23	       0.49	       1.47	
 2023/01/16-11:15	    1665	    1666	    1657	    1658	          18617	    1658.00	           	           	           	           	           	           	           	           	       0.00	   18617.00	   24980.60	   29067.80	       0.54	       0.50	       0.07	
 2023/01/16-11:25	    1658	    1667	    1657	    1666	          23009	    1666.00	           	           	           	           	           	           	           	           	       0.00	   23009.00	   20489.60	   28421.50	       0.63	       0.53	       0.20	
 2023/01/16-13:35	    1667	    1667	    1663	    1665	          10690	    1665.00	           	           	           	           	           	           	           	           	       0.00	   10690.00	   16998.40	   25643.50	       0.61	       0.54	       0.13	
 2023/01/16-13:45	    1666	    1670	    1663	    1665	          13822	    1665.00	           	           	           	           	           	           	           	           	       0.00	   13822.00	   16069.40	   24627.30	       0.59	       0.55	       0.08	
 2023/01/16-13:55	    1665	    1667	    1663	    1663	           8388	    1663.00	           	           	           	           	           	           	           	           	       0.00	    8388.00	   14905.20	   22602.90	       0.41	       0.52	      -0.23	
 2023/01/16-14:05	    1664	    1667	    1663	    1665	           8374	    1665.00	           	           	           	           	           	           	           	           	       0.00	    8374.00	   12856.60	   18918.60	       0.42	       0.50	      -0.16	
 2023/01/16-14:15	    1665	    1667	    1659	    1662	          18128	    1662.00	           	           	           	           	           	           	           	           	       0.00	   18128.00	   11880.40	   16185.00	       0.19	       0.44	      -0.51	
 2023/01/16-14:25	    1661	    1667	    1660	    1664	          16155	    1664.00	    1663.07	           	           	           	           	           	           	           	       0.00	   16155.00	   12973.40	   14985.90	       0.16	       0.38	      -0.45	
 2023/01/16-14:35	    1664	    1666	    1661	    1661	          11028	    1661.00	    1662.93	           	           	           	           	           	           	           	       0.00	   11028.00	   12414.60	   14242.00	      -0.10	       0.29	      -0.78	
 2023/01/16-14:45	    1661	    1663	    1660	    1661	           9184	    1661.00	    1662.90	           	           	           	           	           	           	           	       0.00	    9184.00	   12573.80	   13739.50	      -0.30	       0.17	      -0.95	
 2023/01/16-14:55	    1661	    1664	    1659	    1664	          12751	    1664.00	    1662.90	           	           	           	           	           	           	           	       0.00	   12751.00	   13449.20	   13152.90	      -0.22	       0.09	      -0.62	
 2023/01/16-15:00	    1663	    1666	    1662	    1662	          15453	    1662.00	    1662.80	           	           	           	           	           	           	           	       0.00	   15453.00	   12914.20	   12397.30	      -0.31	       0.01	      -0.65	
 2023/01/17-21:10	    1665	    1667	    1660	    1662	          41865	    1662.00	    1662.77	           	           	           	           	           	           	           	       0.00	   41865.00	   18056.20	   15514.80	      -0.38	      -0.07	      -0.63	
 2023/01/17-21:20	    1663	    1665	    1660	    1661	          18827	    1661.00	    1662.80	           	           	           	           	           	           	           	       0.00	   18827.00	   19616.00	   16015.30	      -0.51	      -0.16	      -0.71	
 2023/01/17-21:30	    1661	    1664	    1661	    1664	           8480	    1664.00	    1663.03	           	           	           	           	           	           	           	       0.00	    8480.00	   19475.20	   16024.50	      -0.37	      -0.20	      -0.34	
 2023/01/17-21:40	    1663	    1667	    1661	    1662	          18705	    1662.00	    1663.07	           	           	           	           	           	           	           	       0.00	   18705.00	   20666.00	   17057.60	      -0.41	      -0.24	      -0.34	
 2023/01/17-21:50	    1662	    1662	    1658	    1659	          21765	    1659.00	    1663.13	           	           	           	           	           	           	           	       0.00	   21765.00	   21928.40	   17421.30	      -0.68	      -0.33	      -0.70	
 2023/01/17-22:00	    1660	    1661	    1655	    1658	          14168	    1658.00	    1663.13	           	           	           	           	           	           	           	       0.00	   14168.00	   16389.00	   17222.60	      -0.96	      -0.45	      -1.01	
 2023/01/17-22:10	    1657	    1661	    1657	    1660	           9628	    1660.00	    1663.20	           	           	           	           	           	           	           	       0.00	    9628.00	   14549.20	   17082.60	      -1.01	      -0.57	      -0.89	
 2023/01/17-22:20	    1659	    1660	    1655	    1657	          13710	    1657.00	    1663.20	           	           	           	           	           	           	           	       0.00	   13710.00	   15595.20	   17535.20	      -1.28	      -0.71	      -1.14	
 2023/01/17-22:30	    1656	    1659	    1656	    1657	           8030	    1657.00	    1663.30	           	           	           	           	           	           	           	       0.00	    8030.00	   13460.20	   17063.10	      -1.47	      -0.86	      -1.22	
 2023/01/17-22:40	    1657	    1662	    1656	    1661	          12658	    1661.00	    1663.40	           	           	           	           	           	           	           	       0.00	   12658.00	   11638.80	   16783.60	      -1.29	      -0.95	      -0.69	
 2023/01/17-22:50	    1661	    1663	    1660	    1662	           8115	    1662.00	    1663.37	           	           	           	           	           	           	           	       0.00	    8115.00	   10428.20	   13408.60	      -1.05	      -0.97	      -0.17	
 2023/01/17-23:00	    1662	    1664	    1660	    1661	          14806	    1661.00	    1663.23	           	           	           	           	           	           	           	       0.00	   14806.00	   11463.80	   13006.50	      -0.93	      -0.96	       0.06	
 2023/01/17-09:10	    1661	    1666	    1660	    1666	          19758	    1666.00	    1663.10	           	           	           	           	           	           	           	       0.00	   19758.00	   12673.40	   14134.30	      -0.43	      -0.85	       0.85	
 2023/01/17-09:20	    1665	    1666	    1662	    1664	          10087	    1664.00	    1662.63	           	           	           	           	           	           	           	       0.00	   10087.00	   13084.80	   13272.50	      -0.19	      -0.72	       1.06	
 2023/01/17-09:30	    1663	    1669	    1663	    1668	          19057	    1668.00	    1662.53	           	           	           	           	           	           	           	       0.00	   19057.00	   14364.60	   13001.70	       0.32	      -0.51	       1.66	
 2023/01/17-09:40	    1667	    1669	    1664	    1667	           9413	    1667.00	    1662.47	           	           	           	           	           	           	           	       0.00	    9413.00	   14624.20	   12526.20	       0.63	      -0.28	       1.83	
 2023/01/17-09:50	    1667	    1667	    1663	    1664	           7348	    1664.00	    1662.47	           	           	           	           	           	           	           	       0.00	    7348.00	   13132.60	   12298.20	       0.63	      -0.10	       1.47	
 2023/01/17-10:00	    1664	    1666	    1664	    1665	           5942	    1665.00	    1662.47	           	           	           	           	           	           	           	       0.00	    5942.00	   10369.40	   11521.40	       0.71	       0.06	       1.29	
 2023/01/17-10:10	    1666	    1667	    1661	    1661	          13829	    1661.00	    1662.57	           	           	           	           	           	           	           	       0.00	   13829.00	   11117.80	   12101.30	       0.44	       0.14	       0.60	
 2023/01/17-10:35	    1662	    1665	    1660	    1664	          11670	    1664.00	    1662.50	           	           	           	           	           	           	           	       0.00	   11670.00	    9640.40	   12002.50	       0.46	       0.20	       0.52	
 2023/01/17-10:45	    1663	    1665	    1661	    1662	           6321	    1662.00	    1662.40	           	           	           	           	           	           	           	       0.00	    6321.00	    9022.00	   11823.10	       0.31	       0.22	       0.18	
 2023/01/17-10:55	    1662	    1664	    1660	    1660	           4774	    1660.00	    1662.23	           	           	           	           	           	           	           	       0.00	    4774.00	    8507.20	   10819.90	       0.03	       0.18	      -0.30	
 2023/01/17-11:05	    1660	    1663	    1660	    1663	           6017	    1663.00	    1662.23	           	           	           	           	           	           	           	       0.00	    6017.00	    8522.20	    9445.80	       0.05	       0.16	      -0.21	
 2023/01/17-11:15	    1663	    1665	    1660	    1660	           8188	    1660.00	    1662.07	           	           	           	           	           	           	           	       0.00	    8188.00	    7394.00	    9255.90	      -0.17	       0.09	      -0.52	
 2023/01/17-11:25	    1661	    1661	    1658	    1659	           8527	    1659.00	    1661.97	           	           	           	           	           	           	           	       0.00	    8527.00	    6765.40	    8202.90	      -0.42	      -0.01	      -0.82	
 2023/01/17-13:35	    1659	    1666	    1659	    1665	          13330	    1665.00	    1662.00	           	           	           	           	           	           	           	       0.00	   13330.00	    8167.20	    8594.60	      -0.14	      -0.04	      -0.20	
 2023/01/17-13:45	    1666	    1666	    1664	    1666	           8651	    1666.00	    1662.17	           	           	           	           	           	           	           	       0.00	    8651.00	    8942.60	    8724.90	       0.17	       0.01	       0.33	
 2023/01/17-13:55	    1665	    1666	    1662	    1663	           6774	    1663.00	    1662.23	           	           	           	           	           	           	           	       0.00	    6774.00	    9094.00	    8808.10	       0.17	       0.04	       0.26	
 2023/01/17-14:05	    1663	    1666	    1662	    1665	           6200	    1665.00	    1662.27	           	           	           	           	           	           	           	       0.00	    6200.00	    8696.40	    8045.20	       0.32	       0.09	       0.45	
 2023/01/17-14:15	    1665	    1668	    1662	    1668	          12648	    1668.00	    1662.47	           	           	           	           	           	           	           	       0.00	   12648.00	    9520.60	    8143.00	       0.68	       0.21	       0.94	
 2023/01/17-14:25	    1668	    1669	    1666	    1669	          14390	    1669.00	    1662.70	           	           	           	           	           	           	           	       0.00	   14390.00	    9732.60	    8949.90	       1.03	       0.37	       1.31	
 2023/01/17-14:35	    1668	    1677	    1668	    1676	          39525	    1676.00	    1663.20	           	           	           	           	           	           	           	       0.00	   39525.00	   15907.40	   12425.00	       1.85	       0.67	       2.37	
