FG2306 玻璃2306 1分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2022-06-17	2120	1753	1753	1753	1753	1	1	0
2022-06-17	2130	1800	1800	1800	1800	1	2	0
2022-06-17	2155	1785	1785	1785	1785	1	2	0
2022-06-17	0901	1785	1785	1785	1785	0	2	0
2022-06-17	0902	1785	1785	1785	1785	0	2	0
2022-06-17	0903	1785	1785	1785	1785	0	2	0
2022-06-17	0904	1785	1785	1785	1785	0	2	0
2022-06-17	0905	1785	1785	1785	1785	0	2	0
2022-06-17	0906	1785	1785	1785	1785	0	2	0
2022-06-17	0907	1785	1785	1785	1785	0	2	0
2022-06-17	0908	1785	1785	1785	1785	0	2	0
2022-06-17	0909	1785	1785	1785	1785	0	2	0
2022-06-17	0910	1785	1785	1785	1785	0	2	0
2022-06-17	0911	1785	1785	1785	1785	0	2	0
2022-06-17	0912	1785	1785	1785	1785	0	2	0
2022-06-17	0913	1785	1785	1785	1785	0	2	0
2022-06-17	0914	1785	1785	1785	1785	0	2	0
2022-06-17	0915	1785	1785	1785	1785	0	2	0
2022-06-17	0916	1785	1785	1785	1785	0	2	0
2022-06-17	0917	1810	1810	1810	1810	2	4	0
2022-06-17	0918	1810	1810	1810	1810	0	4	0
2022-06-17	0919	1810	1810	1810	1810	0	4	0
2022-06-17	0920	1810	1810	1810	1810	0	4	0
2022-06-17	0921	1810	1810	1810	1810	1	5	0
2022-06-17	0922	1810	1810	1810	1810	0	5	0
2022-06-17	0923	1810	1810	1810	1810	1	5	0
2022-06-17	0924	1810	1810	1810	1810	0	5	0
2022-06-17	0925	1810	1810	1810	1810	0	5	0
2022-06-17	0926	1810	1810	1810	1810	0	5	0
2022-06-17	0927	1810	1810	1810	1810	0	5	0
2022-06-17	0928	1810	1810	1810	1810	0	5	0
2022-06-17	0929	1810	1810	1810	1810	0	5	0
2022-06-17	0930	1810	1810	1810	1810	0	5	0
2022-06-17	0931	1810	1810	1810	1810	0	5	0
2022-06-17	0932	1810	1810	1810	1810	0	5	0
2022-06-17	0933	1810	1810	1810	1810	0	5	0
2022-06-17	0934	1810	1810	1810	1810	0	5	0
2022-06-17	0935	1810	1810	1810	1810	0	5	0
2022-06-17	0936	1810	1810	1810	1810	0	5	0
2022-06-17	0937	1810	1810	1810	1810	0	5	0
2022-06-17	0938	1810	1810	1810	1810	0	5	0
2022-06-17	0939	1810	1810	1810	1810	0	5	0
2022-06-17	0940	1810	1810	1810	1810	0	5	0
2022-06-17	0941	1810	1810	1810	1810	0	5	0
2022-06-17	0942	1810	1810	1810	1810	0	5	0
2022-06-17	0943	1810	1810	1810	1810	0	5	0
2022-06-17	0944	1810	1810	1810	1810	0	5	0
2022-06-17	0945	1810	1810	1810	1810	0	5	0
2022-06-17	0946	1810	1810	1810	1810	0	5	0
2022-06-17	0947	1810	1810	1810	1810	0	5	0
2022-06-17	0948	1810	1810	1810	1810	0	5	0
2022-06-17	0949	1810	1810	1810	1810	0	5	0
2022-06-17	0950	1810	1810	1810	1810	0	5	0
2022-06-17	0951	1810	1810	1810	1810	0	5	0
