C2407 玉米2407 5分钟线 不复权
      日期	    时间	    开盘	    最高	    最低	    收盘	    成交量	    持仓量	    结算价
2023/07/17	2110	2550	2550	2550	2550	1	1	0
2023/07/17	2115	2575	2575	2559	2559	4	4	0
2023/07/17	2120	2561	2562	2556	2562	9	10	0
2023/07/17	2125	2559	2561	2559	2560	5	15	0
2023/07/17	2130	2559	2562	2559	2561	21	33	0
2023/07/17	2140	2564	2564	2564	2564	2	33	0
2023/07/17	2145	2560	2560	2560	2560	3	36	0
2023/07/17	2155	2560	2560	2560	2560	2	38	0
2023/07/17	2200	2564	2564	2559	2559	2	38	0
2023/07/17	2205	2563	2563	2563	2563	5	41	0
2023/07/17	2220	2560	2560	2559	2559	4	45	0
2023/07/17	2240	2559	2559	2559	2559	1	45	0
2023/07/17	2255	2558	2558	2558	2558	1	45	0
2023/07/17	2300	2558	2558	2558	2558	1	46	0
2023/07/17	0905	2557	2562	2555	2562	5	50	0
2023/07/17	0910	2564	2564	2557	2557	3	52	0
2023/07/17	0915	2564	2564	2559	2559	31	79	0
2023/07/17	0920	2564	2569	2562	2569	4	79	0
2023/07/17	0925	2567	2568	2567	2568	2	77	0
2023/07/17	0930	2567	2583	2564	2570	15	83	0
2023/07/17	0935	2572	2572	2572	2572	2	81	0
2023/07/17	0940	2567	2570	2567	2570	3	81	0
2023/07/17	0945	2570	2572	2570	2572	3	78	0
2023/07/17	0950	2572	2572	2572	2572	0	78	0
2023/07/17	0955	2572	2572	2572	2572	0	78	0
2023/07/17	1000	2572	2572	2572	2572	0	78	0
2023/07/17	1005	2572	2572	2572	2572	0	78	0
2023/07/17	1010	2572	2572	2572	2572	0	78	0
2023/07/17	1015	2567	2572	2567	2571	6	78	0
2023/07/17	1035	2571	2571	2571	2571	0	78	0
2023/07/17	1040	2571	2571	2571	2571	0	78	0
2023/07/17	1045	2571	2571	2571	2571	0	78	0
2023/07/17	1050	2571	2571	2571	2571	0	78	0
2023/07/17	1055	2571	2571	2571	2571	0	78	0
2023/07/17	1100	2571	2571	2571	2571	0	78	0
2023/07/17	1105	2568	2568	2568	2568	3	78	0
2023/07/17	1110	2568	2568	2568	2568	3	78	0
2023/07/17	1115	2566	2570	2566	2570	2	80	0
2023/07/17	1120	2570	2570	2570	2570	0	80	0
2023/07/17	1125	2569	2570	2569	2570	2	82	0
2023/07/17	1130	2570	2570	2570	2570	0	82	0
2023/07/17	1335	2570	2570	2570	2570	0	82	0
2023/07/17	1340	2570	2570	2570	2570	0	82	0
2023/07/17	1345	2570	2570	2570	2570	0	82	0
2023/07/17	1350	2565	2565	2565	2565	3	85	0
2023/07/17	1355	2563	2566	2563	2566	3	88	0
2023/07/17	1400	2566	2566	2566	2566	0	88	0
2023/07/17	1405	2565	2565	2565	2565	1	88	0
2023/07/17	1410	2565	2565	2565	2565	0	88	0
2023/07/17	1415	2565	2565	2565	2565	0	88	0
2023/07/17	1420	2565	2565	2565	2565	0	88	0
2023/07/17	1425	2569	2569	2562	2562	6	92	0
2023/07/17	1430	2562	2566	2562	2564	5	92	0
2023/07/17	1435	2562	2564	2562	2564	5	93	0
2023/07/17	1440	2564	2564	2562	2564	6	92	0
2023/07/17	1445	2564	2564	2564	2564	0	92	0
2023/07/17	1450	2564	2565	2564	2565	4	92	0
2023/07/17	1455	2565	2567	2565	2567	2	93	0
2023/07/17	1500	2567	2567	2567	2567	0	93	0
2023/07/18	2105	2565	2565	2552	2558	52	139	0
2023/07/18	2110	2554	2560	2554	2558	20	157	0
2023/07/18	2115	2557	2557	2555	2555	9	165	0
2023/07/18	2120	2554	2556	2554	2556	2	167	0
2023/07/18	2125	2558	2558	2557	2557	2	169	0
2023/07/18	2130	2557	2557	2557	2557	1	169	0
2023/07/18	2135	2555	2555	2554	2554	4	171	0
2023/07/18	2140	2556	2556	2556	2556	1	171	0
2023/07/18	2145	2555	2555	2555	2555	10	181	0
2023/07/18	2150	2555	2555	2553	2553	26	182	0
2023/07/18	2155	2555	2555	2555	2555	1	182	0
2023/07/18	2200	2555	2558	2553	2553	13	180	0
2023/07/18	2210	2553	2553	2552	2552	5	184	0
2023/07/18	2215	2552	2554	2552	2554	3	185	0
2023/07/18	2225	2555	2556	2554	2556	7	191	0
2023/07/18	2230	2556	2556	2556	2556	1	191	0
2023/07/18	2235	2555	2556	2555	2556	4	191	0
2023/07/18	2250	2556	2556	2556	2556	1	192	0
2023/07/18	2300	2558	2558	2557	2557	7	198	0
2023/07/18	0905	2558	2562	2558	2562	3	200	0
2023/07/18	0910	2561	2561	2558	2558	3	200	0
2023/07/18	0915	2557	2557	2557	2557	1	200	0
2023/07/18	0920	2558	2559	2557	2557	3	200	0
2023/07/18	0925	2557	2558	2556	2556	6	205	0
2023/07/18	0930	2556	2556	2555	2555	5	210	0
2023/07/18	0935	2555	2555	2555	2555	0	210	0
2023/07/18	0940	2559	2562	2559	2562	3	212	0
2023/07/18	0945	2555	2555	2555	2555	1	212	0
2023/07/18	0950	2555	2555	2555	2555	0	212	0
2023/07/18	0955	2555	2555	2555	2555	0	212	0
2023/07/18	1000	2555	2555	2555	2555	0	212	0
2023/07/18	1005	2555	2555	2555	2555	0	212	0
2023/07/18	1010	2555	2555	2555	2555	0	212	0
2023/07/18	1015	2555	2555	2555	2555	0	212	0
2023/07/18	1035	2555	2555	2555	2555	0	212	0
2023/07/18	1040	2555	2555	2555	2555	0	212	0
2023/07/18	1045	2562	2562	2562	2562	2	212	0
2023/07/18	1050	2561	2561	2561	2561	1	213	0
2023/07/18	1055	2561	2561	2561	2561	0	213	0
2023/07/18	1100	2561	2561	2561	2561	0	213	0
2023/07/18	1105	2558	2558	2558	2558	1	213	0
2023/07/18	1110	2558	2558	2558	2558	0	213	0
2023/07/18	1115	2559	2559	2558	2558	3	212	0
2023/07/18	1120	2558	2558	2558	2558	1	213	0
2023/07/18	1125	2558	2558	2558	2558	0	213	0
2023/07/18	1130	2558	2558	2558	2558	1	214	0
2023/07/18	1335	2558	2558	2557	2557	3	216	0
2023/07/18	1340	2557	2557	2557	2557	1	216	0
2023/07/18	1345	2557	2557	2557	2557	1	217	0
2023/07/18	1350	2557	2557	2556	2556	7	218	0
2023/07/18	1355	2556	2557	2556	2557	4	219	0
2023/07/18	1400	2555	2555	2555	2555	15	219	0
2023/07/18	1405	2556	2556	2556	2556	1	219	0
2023/07/18	1410	2555	2555	2554	2554	21	222	0
2023/07/18	1415	2552	2553	2552	2553	10	231	0
2023/07/18	1420	2553	2553	2553	2553	0	231	0
2023/07/18	1425	2553	2553	2553	2553	0	231	0
2023/07/18	1430	2554	2554	2554	2554	1	232	0
2023/07/18	1435	2554	2554	2554	2554	1	233	0
2023/07/18	1440	2552	2552	2552	2552	2	235	0
2023/07/18	1445	2552	2552	2552	2552	0	235	0
2023/07/18	1450	2552	2552	2552	2552	0	235	0
2023/07/18	1455	2553	2553	2551	2551	6	235	0
2023/07/18	1500	2552	2552	2552	2552	5	235	0
2023/07/19	2105	2558	2559	2554	2556	11	236	0
2023/07/19	2110	2555	2555	2555	2555	1	237	0
2023/07/19	2115	2554	2555	2554	2555	3	237	0
2023/07/19	2130	2556	2556	2554	2556	4	238	0
2023/07/19	2135	2556	2558	2556	2557	3	237	0
2023/07/19	2150	2557	2557	2557	2557	1	238	0
2023/07/19	2205	2556	2557	2556	2556	3	239	0
2023/07/19	2210	2556	2556	2556	2556	1	240	0
2023/07/19	2220	2556	2560	2556	2560	2	240	0
2023/07/19	2225	2560	2561	2560	2560	3	240	0
2023/07/19	2235	2557	2557	2557	2557	1	240	0
2023/07/19	2245	2557	2557	2557	2557	1	240	0
2023/07/19	2255	2559	2561	2559	2561	4	240	0
2023/07/19	2300	2561	2561	2561	2561	1	240	0
2023/07/19	0905	2565	2574	2565	2574	32	239	0
2023/07/19	0910	2574	2574	2571	2572	5	239	0
2023/07/19	0915	2569	2569	2569	2569	2	240	0
2023/07/19	0920	2572	2573	2572	2573	4	240	0
2023/07/19	0925	2573	2573	2570	2571	6	240	0
2023/07/19	0930	2572	2572	2572	2572	1	241	0
2023/07/19	0935	2574	2576	2574	2576	18	247	0
2023/07/19	0940	2576	2576	2573	2573	11	247	0
2023/07/19	0945	2573	2573	2573	2573	0	247	0
2023/07/19	0950	2572	2572	2572	2572	10	244	0
2023/07/19	0955	2574	2574	2574	2574	1	244	0
2023/07/19	1000	2574	2574	2574	2574	0	244	0
2023/07/19	1005	2572	2572	2572	2572	1	244	0
2023/07/19	1010	2574	2575	2572	2572	4	244	0
2023/07/19	1015	2572	2574	2572	2574	3	243	0
2023/07/19	1035	2574	2574	2574	2574	2	241	0
2023/07/19	1040	2574	2574	2574	2574	0	241	0
2023/07/19	1045	2574	2574	2574	2574	0	241	0
2023/07/19	1050	2571	2571	2571	2571	1	241	0
2023/07/19	1055	2571	2571	2571	2571	1	241	0
2023/07/19	1100	2574	2574	2574	2574	2	243	0
2023/07/19	1105	2574	2574	2574	2574	1	244	0
2023/07/19	1110	2574	2574	2574	2574	0	244	0
2023/07/19	1115	2574	2574	2574	2574	0	244	0
2023/07/19	1120	2574	2574	2574	2574	0	244	0
2023/07/19	1125	2574	2574	2574	2574	0	244	0
2023/07/19	1130	2571	2571	2571	2571	1	244	0
2023/07/19	1335	2574	2574	2574	2574	2	246	0
2023/07/19	1340	2576	2580	2576	2580	233	423	0
2023/07/19	1345	2580	2580	2580	2580	43	462	0
2023/07/19	1350	2581	2581	2581	2581	55	515	0
2023/07/19	1355	2581	2582	2580	2580	6	519	0
2023/07/19	1400	2581	2581	2581	2581	3	516	0
2023/07/19	1405	2582	2582	2582	2582	3	515	0
2023/07/19	1410	2584	2585	2584	2585	126	641	0
2023/07/19	1415	2586	2601	2585	2595	133	748	0
2023/07/19	1420	2591	2591	2588	2588	31	778	0
2023/07/19	1425	2587	2587	2587	2587	1	778	0
2023/07/19	1430	2591	2591	2591	2591	2	779	0
2023/07/19	1435	2591	2591	2591	2591	0	779	0
2023/07/19	1440	2591	2591	2591	2591	0	779	0
2023/07/19	1445	2588	2588	2588	2588	1	778	0
2023/07/19	1450	2588	2588	2588	2588	0	778	0
2023/07/19	1455	2593	2593	2593	2593	1	779	0
2023/07/19	1500	2590	2593	2588	2588	9	780	0
2023/07/20	2105	2605	2605	2600	2602	20	791	0
2023/07/20	2110	2600	2600	2599	2600	45	790	0
2023/07/20	2115	2600	2602	2600	2602	9	794	0
2023/07/20	2120	2602	2602	2602	2602	5	797	0
2023/07/20	2125	2604	2604	2604	2604	5	802	0
2023/07/20	2130	2603	2603	2603	2603	1	802	0
2023/07/20	2135	2605	2605	2603	2603	3	802	0
2023/07/20	2140	2605	2606	2605	2606	4	805	0
2023/07/20	2145	2606	2606	2606	2606	1	806	0
2023/07/20	2150	2603	2603	2603	2603	2	807	0
2023/07/20	2155	2604	2604	2603	2603	7	812	0
2023/07/20	2200	2604	2604	2604	2604	1	813	0
2023/07/20	2205	2602	2603	2602	2603	2	813	0
2023/07/20	2210	2603	2603	2603	2603	1	814	0
2023/07/20	2215	2601	2601	2601	2601	14	817	0
2023/07/20	2230	2601	2601	2601	2601	2	816	0
2023/07/20	2235	2601	2601	2599	2599	27	822	0
2023/07/20	2240	2600	2600	2600	2600	1	821	0
2023/07/20	2245	2599	2600	2599	2600	3	821	0
2023/07/20	2250	2601	2601	2601	2601	1	821	0
2023/07/20	2300	2603	2603	2603	2603	1	820	0
2023/07/20	0905	2605	2606	2605	2606	5	820	0
2023/07/20	0910	2606	2606	2605	2605	2	821	0
2023/07/20	0915	2605	2605	2605	2605	0	821	0
